stop_name,latitude,longitude,status
貴子坑水土保持園區,25.14506,121.49262,未知
秀山里,25.145288,121.4938266,未知
慈航寺,25.144571,121.497011,未知
國泰新村,25.143537,121.4980051,未知
中和里,25.142065,121.4987552,未知
復興中學,25.140425,121.500142,未知
中和街,25.139157,121.5015207,未知
新北投,25.137791,121.502937,未知
北投公園,25.136348,121.5041244,未知
第一銀行,25.134513,121.5023587,未知
北投國小,25.133615,121.50136,未知
大業中央北路口,25.135807,121.4978915,未知
幼華高中(大業),25.135718,121.4968066,未知
大業路(捷運北投站),25.13174,121.495841,未知
大業路(大興街口),25.12976,121.49669,未知
鳳甲美術館,25.127225,121.4978596,未知
大業路(農禪寺),25.122429,121.499222,未知
承德公館路口,25.118907,121.501973,未知
立農國小,25.117433,121.503568,未知
實踐街口,25.114726,121.5064388,未知
承德路七段,25.112706,121.508727,未知
石牌,25.109536,121.512347,未知
文林國小,25.108034,121.5139733,未知
中正高中,25.105059,121.517803,未知
捷運芝山站(戲曲中心),25.102263,121.5204736,未知
捷運芝山站一,25.100849,121.5223075,未知
士林,25.095911,121.5242793,未知
小北街,25.090999,121.526725,未知
捷運劍潭站(北藝中心),25.084849,121.524748,未知
圓山皇宮大廈,25.083468,121.5233264,未知
劍潭國小,25.081056,121.5223096,未知
明倫高中,25.07344,121.5191524,未知
庫倫街口,25.071066,121.5183341,未知
民族承德路口,25.067913,121.5182673,未知
大同國小,25.064874,121.5181,未知
成淵高中,25.062226,121.518152,未知
民生西路口,25.056725,121.5179896,未知
捷運中山站(志仁高中),25.05271,121.5196749,未知
南京林森路口,25.052069,121.5250604,未知
南京吉林路口,25.052007,121.529855,未知
捷運松江南京站,25.051969,121.5327305,未知
南京建國路口,25.051938,121.5362725,未知
南京龍江路口,25.051888,121.5401689,未知
捷運南京復興站,25.051804,121.5435614,未知
南京敦化路口(小巨蛋),25.051703,121.5483534,未知
南京寧安街口,25.051548,121.5547373,未知
博仁醫院,25.04937,121.55774,未知
臺北市區監理所(光復),25.04762,121.5577342,未知
捷運國父紀念館站(光復),25.042558,121.557568,未知
國父紀念館,25.039009,121.5574996,未知
市民住宅,25.03669,121.55745,未知
三張犁,25.034098,121.5573365,未知
世貿中心(莊敬),25.031446,121.56127,未知
景新里,25.02923,121.5624103,未知
臺北醫學大學,25.028273,121.5632643,未知
信義國中(莊敬),25.027402,121.565724,未知
吳興國小(松仁),25.026231,121.568554,未知
松仁路,25.024432,121.569585,未知
松仁路,25.02453,121.5695997,未知
吳興國小(松仁),25.026234,121.568628,未知
信義國中(松仁),25.02881,121.568464,未知
松平路口,25.03124,121.56839,未知
信義松仁路口(松仁),25.03369,121.5684464,未知
松壽路口,25.035881,121.5666401,未知
市政府(松壽),25.035907,121.5646562,未知
市政府(市府),25.038366,121.5636251,未知
捷運市政府站,25.041057,121.5653493,未知
